filename,left_image,right_image,overall_description,is_text_in_left_image,is_text_in_right_image,are_images_connected,difficulty_in_understanding
20240101_173624.jpg,Image showing how using electric powered vehicles helps make the world a greener place,Image showing the vast amount of pollution caused during production of batteries,"The images are ironic since they show how even though electric powered cars are touted to be a game changer in the automotive industry and claims are made that they will make the world a greener and cleaner place to live in, the reality is quite different. Battery production causes vast amounts of pollution making such claims very doubtful",,TRUE,,EASY
20240101_182506.jpg,a person wearing white pants and high heels on a road filled with water.,"a person wearing white pants and high heels, but her pants are soaked in water when viewed from the back.","The image is funny, as when looking from the front, girl's pants are spick and span, while looking from the back, her pants are soaked in water, probably due to walking on a road filled with water in high heels. This is ironical, as the very reason for wearing heels (i.e. looking beautiful) is defeated, due to the heels themselves.",,,,MEDIUM
20240101_173525.jpg,a small tablet of a medicine,a leaflet describing the instructions for a medicine,the irony in this image is a small thing like a medicine very often has instructions and a manual that is extremely long,,TRUE,,EASY
20240101_173232.jpg,"a person watching TV and increasing the volume of TV, maybe because he is not able to hear the dialogues properly","a person covering his ears from the loud noise of TV, maybe because of the action scenes",The action scenes of the movies or TV programs are mostly low in sound and people aren't able to hear them properly but in the action scenes due to the background music and other noise the sound becomes unbearable to some peoples,TRUE,TRUE,,EASY
20240101_180332.jpg,a bathtub by the side of a window which has a very scenic view of lake and mountains.,"a woman bathing in a bathtub, while the window glasses are foggy from the steam of the hot water.","The image is ironical, as a bathtub near a window having a very scenic view, becomes misty when someone is bathing, thus making the scenic view blurry.",,,,EASY
20240101_173245.jpg,"The image shows the front side of a card with the text saying ""dreams come true"". There are also various drawings of sun, starts, hearts, ships, cars and eiffel tower on the card.",The image shows a 5 US dollar bill clipped to a card.,The overall image is funny because while the front of the card gives hope that the person receiving this card will have one of their dreams come true but opening the card reveals only 5 dollars which is nowhere enough to fulfil any kind of dream.,TRUE,TRUE,,EASY
20240101_172853.jpg,It is an egg tray in a  refrigerator,It is a box of eggs in a refrigerator,"The images are funny since the show how even though refrigerator manufacturers design in-built egg trays, they are of no use to users who choose to put their entire box of eggs in the refrigerator",,,,EASY
20240101_172322.jpg,The image shows colorful firecrackers going off in the sky.,The image shows two dogs and a cat hiding under furniture.,"The image is satirical because while firecrackers in the sky look pretty, not everyone likes them. Animals are very scared of the firecrackers.",,,,EASY
20240101_174753.jpg,a woman having a cup of some hot beverage at some cafe with probably doing some work in the laptop,"a woman looking outside the window at the stray animals, who are probably in search of some food near the garbage bin","The people nowadays are not concerned about the surroundings, everyone is busy in their life, like in the image it is shown that even when the woman notices the issues faced by stray but even then she is not ready to raise her voice or do some action for the cause",TRUE,,,EASY
20240101_175608.jpg,"football players celebrating, probably due a goal their team has scored.","A sign of ""No goal - Offside"".","The image is ironical, as the team is celebrating as they think that they have scored a goal, but the sign on the screen says that it is an offside, and not a goal. This is a very common scenario in football matches.",,TRUE,,EASY
20240101_174654.jpg,It is a mighty king in front of a castle,It is a man using the toilet in a castle,The images are funny since it shows how even a mighty king must do simple things like using a toilet just like everyone else does,,TRUE,,EASY
20240101_173800.jpg,"a person holding a ""FASTPASS ENTRANCE"" ticket or token of date ""15/05/23"" with some barcode","people in a long queue in front of ""FASTPASS ENTRANCE""  gate and ""ENTRANCE"" gate is vacant without any queue","The image is ironic, because fast pass entrance was meant for people to pass the gate fast but as more no. of people bought the pass due to which the queue has become longer and it becomes slow and time consuming",,,,EASY
20240101_174927.jpg,a chair.,a woman sitting by the sink taking a selfie using a mirror.,"The image is ironical, as a woman is sitting by the sink taking a selfie using a mirror, while not using a chair that is actually meant for sitting.",,,,EASY
20240101_174737.jpg,a woman looking through the window from a cafe while enjoying her drink with working on her laptop,a woman enjoying her drink and working at laptop while looking outside through the window at a person who is out for getting his dog pooped outside,"The image is ironic, because in the first image the woman is seen as enjoying the view but in the second image the same woman is seen as looking at a pooping dog",TRUE,,,EASY
20240101_180319.jpg,a beautiful vase of full of different beautiful flowers,a beautiful vase of full of different beautiful flowers put in front of someone's grave stone,"The image is ironic, because in the first image a vase full of different beautiful flowers is seen which spreads a feeling of positivity, cheerfulness etc., whereas in the second image when the same vase is put in front of a grave stone it produces a feeling of sorrow",,,,EASY
20240101_175231.jpg,Image of a phone's camera module.,camera roll of a person's phone,The irony here is that people buy phones with flashy camera systems just to click pictures of random and insignificant things.,TRUE,TRUE,,EASY
20240101_180844.jpg,a car at a parking lot and a person is seen getting out of the car,"a car at a parking lot and a person is seen getting out of the car, but the car's doors are touching the neighborhood car, causing inconvenience due to compact space and maybe putting dents on the neighboring car","The image is ironic, because the left door of the car is easily opened with still space left so the car could have been parked more on the left whereas the right door of the car is getting stuck due to the less space between the two cars and the person in facing difficulty in getting himself out but person on the left easily gets out",TRUE,TRUE,TRUE,EASY
20240101_175326.jpg,"Trees and ground covered by snow due to snowfall, with a bird resting on a branch, and the Sun in the sky.","Snow covered trees, and the ground partially covered in snow.","The image is funny, as from far, snow covered mountains look really scenic and completely white, but when zooming in near trees, the ground is partially covered in snow, and is not as scenic anymore.",,,,MEDIUM
20240101_175445.jpg,"A football team has won some tournament, where the team with the cup are celebrating, along with their fans in the gallery.","some people are standing in a bus, while some other people are travelling in a car carrying a cup, while cash notes are flowing out the car window.","The image is ironical, as a team and its are all celebrating on the ground after winning the match, but after the match, the fans are standing in the bus uncomfortably, while the players are travelling inside a carring the cup as well as the prize money, which the fans did not get a dime of.",TRUE,,,EASY
20240101_180607.jpg,a woman wearing a netted top over bikini posing for some photo at beach,"a woman wearing bikini, with tanned body in some spots, posing for some photo at beach","Women wear netted tops while out in the sun on the beach as a beachwear, but when the person removes it, the skin is tanned in the same netted pattern looks weird, and goes against the purpose of using it as beachwear",,,,EASY
20240101_175647.jpg,an art studio with a blank canvas.,an art studio with a black and white painting on a canvas.,"The image is ironical, as even though the art studio contains a palette of a range of color paints, the painting on the canvas is black and white.",,,,MEDIUM
20240101_181319.jpg,a person doing rowing exercise in gym,a person riding a motorboat,"The image is ironic, because people often use rowing machine at the gym don't prefer rowing when it comes to boats",,,,EASY
20240101_173210.jpg,The image shows an angry woman tearing a piece of paper titled 'Beauty Standards' that shows the ideal measurements of various parts of a female's body to be called beautiful.,The image shows a happy woman showing a piece of paper titled 'Beauty Standards' that shows that the ideal height of a male's body should be more than 180cm to be called beautiful.,The image is ironic because the woman that is angry about having constraints set on the body parts of a woman to be considered beautiful is the same person who is happily presenting contraints on the height of a man to be considered beautiful.,TRUE,TRUE,,EASY
20240101_175353.jpg,a room with a sea-facing door,high waves in the sea twice of the height of the building near the sea,The same sea which gives us a relaxation on a normal day can pose a danger to us sometimes like during a tsunami,,,,MEDIUM
Screenshot_2024-01-01-17-38-54-117_com.twitter.android-edit.jpg,A woman holding a board depicting the round number in a men's boxing match,A woman holding a board depicting the round number in a women's boxing match,"The images are ironic since it shows how women are represented in our society. When it comes to a men's boxing match, a woman in revealing clothes is expected to hold out boards depicting round numbers but in a women's boxing match, they do not expect men to do so. It is poking fun at the gender roles that exist in our society",TRUE,TRUE,,EASY
20240101_181138.jpg,"a comment on some post made on any social media, probably some clarification or description of some post","some comments on some post over some social media platform about criticising some meme materials, or videos","The image is ironic, because the person in the first image is trying to explain about some content posted by it and in the second image the people in the comment section has misinterpreted the posted and are declaring or criticising it as an offensive joke rather than knowing the real meaning or logic behind the post",TRUE,TRUE,,MEDIUM
20240101_173104.jpg,It is a woman taking pictures of her food,It is a woman eating cold food,"The images are funny since they show how a woman chooses to spend time clicking pictures of her food and by the time she is done, the food is already cold and not as appetizing as it was",,,,EASY
20240101_180340.jpg,"A box of building blocks, secured by the seatbelt in the backseat of a car.","A person sitting in the backseat of a car, not wearing a seatbelt","The image is ironical, as an inanimate box of building blocks has been secured by the seatbelt in the backseat of a car, while a person sitting in the backseat is not wearing the seatbelt, while the person would actually need the seatbelt in case there is an accident.",TRUE,TRUE,,EASY
20240101_173043.jpg,"a cold drink can, named by diet cola, with french fries at the back",a huge size burger with french fries,"The image is ironic, because on one hand the person is consuming diet cola suggesting low on sugar as per label meaning the person is health-conscious but on the other hand the same one is having huge size burger with french fries which suggests the person to be health-ignorant",TRUE,,TRUE,EASY
20240101_180856.jpg,The image shows a garbage collection box with two holes. The hole with the green recycling sign next to it says indicates that all recyclable materials should be thrown into that hole. The hole with a red trash can lable next to it means that all other i.e non recyclable waste should be thrown into this hole. There also is a handle on the front of the box.,"The image shows that there is only one common bin below the holes. The hole with the green recycling sign next to it says indicates that all recyclable materials should be thrown into that hole. The hole with a red trash can lable next to it means that all other i.e non recyclable waste should be thrown into this hole. But since there is only one common bin collecti whatever is thrown through these holes, there is no separation.","The image is funny because while there are different holes provided to dump different kinds of waste, the separation is meaningless because the underlying bin which is the same. So all kinds of trash is collected together and can not be used for recycling.",,,,EASY
20240101_175155.jpg,A man happy with movers who have helped move in a sofa,Images show how movers have damaged a house while moving in furniture,"The images are funny since they show how even though the hired movers achieve their task of moving in furniture, in the process, the cause damage to the whole house",,,,EASY
20240101_180345.jpg,"someone riding a bicycle with a map below, highlighting duration and distance covered, maybe by the bicycle","a car carrying a cycle by keeping it at the backside with a map below, highlighting duration and distance covered, maybe by the car","The image is ironic, because the person has to travel 2 hours just to ride his bicycle for 17 minutes",TRUE,TRUE,,EASY
20240101_173227.jpg,It is a truck travelling at 80km/h in a 130km/h zone,They are two trucks travelling at 80km/h and 81km/h respectively in a 130km/h zone,"The images are funny since even though the speed limit in the zone is 130km/h, a truck travelling at 81 km/h decides to overtake another travelling 80km/h. The faster truck is barely faster and takes a long time to overtake causing other faster road users to get annoyed.",TRUE,TRUE,,EASY
20240101_173317.jpg,It is a set of two images of a man killing a mosquito by hand.,It is man with red liquid smeared on his t-shirt,The images are funny since a man trying to reduce his irritation by killing a mosquito bothering  him only causes himself more irritation by soiling his t-shirt with the mosquito blood,,,,EASY
20240101_173039.jpg,The person shows a man singing on a platform under a spotlight. There are several girls around the platform enjoying his singing and cheering for him. A few girls are taking his photos using their phone and a few also have a poster with heart drawn on it.,The image shows two men holding hands.,"The image is funny because while the girls loves the man, he likes other men instead of women.",,,,EASY
20240101_172951.jpg,"a person at a men's saloon during his hair cut, playing football game on tv and a person serving him some beverage in cup",a person with an average looking haircut,"The image is ironic, because the sole purpose of the person was to get a hair cut but he became so much engrossed in the game that the barber wasn't able to cut his hairs properly. and even the saloon is providing so many facilities but they don't have a good hairdresser",TRUE,,,MEDIUM
20240101_173308.jpg,"4 Skincare products, arranged aesthetically. A tube labeled ""Cleaner"". A tube labeled ""BIO SCRUB"". A dropper bottle labeled ""HYDRATING GEL"". A jar called ""ANTI-AGING SKINCARE"".","9 cans of red bull, some standing upright, some crushed. Cans have blue and red colors. An ashtray with many cigarette butts in it and has smoke coming out. A banner that says ""Sleep duration 2h 5min"".","This image is ironic as on the one hand, the presumed person is into skincare and wants to do the best for their skin, which is good, but on the other hand, they are involved in unhealthy habits that will damage their skin like smoking, caffeine and inadequate sleep.",TRUE,TRUE,,EASY
20240101_173700.jpg,a person eating pizza and leaving the crusts on the table,person eating chocolate bars,"the irony in this image is that people waste pizza crust by saying that it is too hard, while they eat hard chocolate without any complaints",,,,MEDIUM
20240101_173605.jpg,"a person standing alone holding a sign ""Free Hugs"". The tumbleweeds blowing in the wind further stress on the loneliness.","A Wi-fi Router with the label ""Free Wifi"" in front of it, surrounded by people trying to connect to it on their mobile devices.","This image is ironical, as a person holding up a ""Free Hugs"" sign is standing alone, while an inanimate Wi-fi Router giving ""Free Wifi"" is surrounded people trying to connect to it. This shows a growing lack of empathy in our society, while showing our increasing dependence on the digital devices in a virtual world.",TRUE,TRUE,,EASY
20240101_172955.jpg,"A person holding a drink with ice cubes, with a straw in the drink.","A person drinking out of a straw from a drink. The drink is almost finished, and only I've cubes are left.","The image is funny, as the drink seems to be full to begin with, while most of the volume of the drink is occupied by the ice cubes.",,,,EASY
Screenshot_2024-01-01-17-59-17-340_com.twitter.android-edit.jpg,The image shows a cycling exercise machine.,"The image shows several things like a carry bag, clothes and towel resting or hanging on a cycling exercise machine.","The image is funny because while the intention of getting a cycling exercise machine is to do workout, it is being used for hanging clothes and other things on it.",,,,EASY
20240101_175237.jpg,"Pair of colorful slippers, having an image of coconut trees probably in a beach by the sea during sunset.",A person's legs wearing a pair of slippers.,"The image is ironical, as when a person wear a pair of slippers with a colorful image, it is almost completely hidden due to the legs of the person wearing the slippers, which counters the point of having such colorful slippers.",,,,EASY
20240101_180912.jpg,The image shows a map with pins set on places which have been visited by a person.,"The image shows several photos of a man wearing sunglasses  inside a pool in various countries like Egypt, Portugal, Morocco, Turkey, Greece and Cuba.","The image is satirical because while the man has visited all the place marked on the map, he only seems to have swam in pools in all these differnt countries and has not actually seen these places.",TRUE,TRUE,,EASY
20240101_182448.jpg,it is a trolley luggage bag,It is a cobblestone road,"The image is funny because even though the trolley bag is made to make carrying luggage easy, as soon as it encounters a rough surface like cobblestone road, it makes carrying luggage more difficult.",,,,EASY
20240101_180952.jpg,The image shows a hand holding an open black umbrella during rain. The open umbrella is stopping the raindrops to fall below it.,"The image shows water dripping from a wet, folded umberlla in a man's hand. The water is all over the man's shoe and the floor around it.","The image is funny because while the umbrella helps a person avoid getting wet from rain, when the rain stops and the umbrella is folded, the wet umbrella iteself drips water on the person holding it.",,,,EASY
20240101_174029.jpg,It is a woman and child making funny shapes with vegetables and playing with them,It is rabbit crying in a ground full of holes,The images are ironic since they show how on one hand humans choose to play with and waste foods like vegetables while the animals are unable to eat enough food and end up starving due to lack of food,,,,EASY
20240101_182333.jpg,"A vacuum cleaning machine that goes around the floor on its own and cleans the floor. Everything  around it looks squeaky clean, and is shining.","Close up of a vacuum cleaning machine that goes around the floor on its own and cleans the floor. Everything  around it looks squeaky clean, and is shining, but it has a lot of dust on it except one line on it that looks clean. A persons fingertip is visible, and it is covered in dust.","This is funny, because the machine while doing its job cleans everything but ends up being dirty itself.",,,,EASY
20240101_181404.jpg,"a social media post showing a woman in a field of flowers, with hashtags such as #naturelovers, #lovenature, #nature.",feet stepping on flower petals surrounded by grass.,"The image is ironical, as the social ,edia post shows the appreciation of nature, while an image of the feet on the ground stepping on the flower petals shows an unintentional disrespect of nature.",TRUE,,,MEDIUM
20240101_181006.jpg,It is a window with a mosquito net,It is a man with many mosquito bites while one out of the many mosquitoes is playing a trumpet into his ear,"The images are funny since it shows how even though we try to keep mosquitoes away from us using methods like mosquito nets, they still find a way to ruin our sleep by biting and making noise",,,,EASY
20240101_173642.jpg,It is a man eating a pizza,It is a pet dog with teary eyes,The images are funny since they show how pet owners cannot enjoy any tasty food like pizza without sharing with their pets. The look from the pets makes the owner too guilty if he does not share his food,,,,EASY
20240101_180832.jpg,a shopping cart full of items,"a black car with its trunk lid open and some boxes, probably speakers, kept in the trunk","The image is ironic, because a car trunk was earlier designed to keep some extra luggage or things but people nowadays get speakers installed in the trunk which in turn reduces the space in the trunk and making it difficult for people to store the extra luggage in the trunk",,,,EASY
20240101_180706.jpg,"The image shows the front gate of a hotel. The name of the hotel is ""HOTEL 5 Stars"" but the instead of the words 5 stars, five stars are next to the word ""HOTEL""",The image shows a rating of 3.7 out of 5 to a hotel name hotel 5 stars.,The image is funny because the Hotel's name suggests that it is very good and as it's name itself is Hotel 5 stars but in reality it received a rating of only 3.7 out of 5,TRUE,TRUE,,EASY
20240101_182519.jpg,"It is a social media post by ""Bob"" showing his support for free speech as a civil right","It is a list of all the prople ""Bob"" has blocked on his contacts list","The images are funny since even though someone like ""Bob"" shows support for free speech as a civil right, he is not ready to deal with the consequences of free speech and chooses to not be spoken to by certain people. He thus blocks people from contacting him on his phone.",TRUE,TRUE,,EASY
20240101_175023.jpg,"A bottle of ""Premium Mineral Water"".",Pouring a bottle of water into a glass having ice cubes formed by refrigerating tap water.,"This image is ironical, as a bottle of mineral water is being used along with ice cubes from tap water, while the sama tap water could have been instead used.",TRUE,,,EASY
20240101_174518.jpg,a man crying on seeing an elephant being chained in a cage in a TV program,a person riding an elephant while taking selfies,"The image is ironic, because the people who get sentimental over imprisoned animal while watching TV shows often feel okay when using animals for labor",,,,EASY
20240101_181439.jpg,Breakfast on bed,Food crumbs on bed,"The image is ironical, as having breakfast in bed is a luxury. However, eating while in bed leads to food crumbs, making the bed dirty, along with the need to clean the bed afterwards.",,,,EASY
20240101_182625.jpg,A snowglobe that says 'New York','Made in china' label on the snowglobe,The image is ironic because the snowglobe says 'New York' while it is made in China,TRUE,TRUE,,EASY
20240101_180026.jpg,"It is a tag saying ""not tested on animals""",It is a dog shampoo bottle.,The images are ironic since a dog shampoo bottle has a sticker indicating that it has not been tested on animals and hence might not be safe for animal use. It is amusing that a product designed to be used by animals is not tested on animals for their safety,TRUE,TRUE,,EASY
20240101_175413.jpg,"A colorful pie chart titled ""Fruits"", with different distributions of various fruits like bananas, strawberries, grapes, apples, watermelon, oranges and lemons.","A BLACK and WHITE greyscale printout of a pie chart titled ""Fruits"". The pie chart is just one circle with no divisions, but there is a key beside it that mentions various fruits like bananas, strawberries, grapes, apples, watermelon, oranges and lemons.",This is funny because the pie chart printout is useless as you cant see any divisions on it because the  printer could not capture the different colors,TRUE,TRUE,,EASY
20240101_173419.jpg,a beautiful view of red moon around a building,a person trying to capture an image of red moon using his phone,"The image is ironic, because the phone is not able to capture the real beauty of the view which the viewer can see by their naked eyes",,,,EASY
20240101_180618.jpg,It is a text message asking the recipient to reply back once he/she returns home,It is a man sleeping on his bed with his phone on silent mode,The images are funny since they show how a sender wants the recipient to revert once he gets back home but the tired recipient ends up falling asleep completely forgetting about the message while the sender keeps waiting for a reply. The fact that the recipient leaves his phone on silent mode makes it even funnier since the probability of the sender being able to contact him becomes even slimmer.,TRUE,,,EASY
20240101_172924.jpg,A mug that looks like a cat's face and has cat's facial features like ears,a woman drinking from a mug and crying because something on the mug is poking in her face,The irony in the image is that the mug is supposedly cute and quirky but it is completely impractical as a mug as it will hurt its user.,TRUE,TRUE,,EASY
20240101_173003.jpg,It is a woman painting a natural scenery,A number of flies stuck on a painting,The images are funny since they show how a peaceful sight like a woman painting a natural scenery looks good only from afar. When looked closely we can see details like flies on the painting which make us uneasy and the scene is not so good to look at anymore.,,,,EASY
20240101_173752.jpg,two electrical sockets side by side,an electrical adapter,"The image is funny, as there are two electrical sockets side-by-side, but the adapter is shaped in such a way, that if two adapters are inserted into the two sockets, they will butt into each other, leading to inconvenience.",,,,MEDIUM
20240101_180807.jpg,"entrance to the ""Print & Copy"" Centre.","printed waiting slip for the 'Print & Copy"" Centre.","The image is ironic, as the waiting slip in a ""Print & Copy"" Centre is printed with insufficient printing ink.",TRUE,TRUE,,EASY
20240101_172913.jpg,A woman entering a Halloween Party wearing a pink top and skirt with a necklace around the neck as costume.,"A person entering a Halloween Party wearing a pink top and skirt along with a necklace around the neck as costume, and others in the room have the same costume.","The image is funny, as the person entering the Halloween Party has a costume that is identical to many other people in the party.",TRUE,TRUE,,EASY
20240101_181457.jpg,it seems the person is standing in an empty room,"it seems the image of a railway or metro station, where everyone is boarding the train except one person","The image is of a metro or railway station which shows that the person in left is standing in the middle at the correct place to board the train, but in the right, the doors of the train are wrongly positioned",,,,MEDIUM
20240101_173729.jpg,a woman cleaning house using vacuum cleaner angrily staring at a man eating chips,a man looking at the breadcrumbs falling while the woman next to him eating the food while driving car,"The image is ironic, because in the left image she is seen how sincere she is about keeping her home clean but in the right image she forgets these principles while travelling in the car",,,,EASY
20240101_181343.jpg,Three happy people with heads full of hair standing behind a sad person with no hair.,Three sad people wearing swimming caps standing behind a happy person with no hair in a swimming pool.,"The image is ironical, as person without hair is sad in a normal situation due to the absence of hair, unlike other people with hair. However, in a swimming pool, people with hair have to wear swimming caps, which is uncomfortable, while the person without hair does not need a cap, and is thus, happy in this situation.",,,,EASY
20240101_180626.jpg,It is a remote being used to operate a TV,It is an user confused between multiple remotes,"The images are funny since they show how even though TV remotes are supposed to make operating TVs easier, having multiple similar looking remotes  for everything only makes it more difficult for the user to use the right one",,,,EASY
20240103_213052.jpg,It is a fireplace,It a fireplace being displayed on a television screen,"The images are funny since they show how even though real fireplaces exist, people choose to be lazy and watch fireplaces on television because they dont want the inconveniences of cleaning up, etc. afterwards",,,,EASY
